id,group,age_demographic_tag,theme,gift_idea,why_unique,price_band,price_range
38,"Boys, 0-12","Curious, hands-on, growing fast",Art & Making,Origami master set with paper & guide,"Focus, geometry and pride in a stack of paper.",A,Rs 0-500
39,"Boys, 0-12","Curious, hands-on, growing fast",Art & Making,Scratch-art night sky posters,Reveal glowing artwork stroke by stroke; calming and screen-free.,A,Rs 0-500
40,"Boys, 0-12","Curious, hands-on, growing fast",Art & Making,Build-a-birdhouse woodcraft kit,Paint and hang it; a project that invites nature to the window.,B,"Rs 500-1,500"
41,"Boys, 0-12","Curious, hands-on, growing fast",Outdoor & Active,Junior archery target set (safe tips),Focus and aim; a skill sport that feels grown-up.,B,"Rs 500-1,500"
42,"Boys, 0-12","Curious, hands-on, growing fast",Outdoor & Active,Kids' metal detector,Turns any park into a treasure hunt for hours.,C,"Rs 1,500-5,000"
43,"Boys, 0-12","Curious, hands-on, growing fast",Outdoor & Active,Slackline starter kit for the garden,Balance and confidence-building without a screen in sight.,B,"Rs 500-1,500"
44,"Boys, 0-12","Curious, hands-on, growing fast",Outdoor & Active,Two-player water-rocket launcher,"Physics you can feel; soaked, delighted kids guaranteed.",B,"Rs 500-1,500"
45,"Boys, 0-12","Curious, hands-on, growing fast",Outdoor & Active,Glow-in-the-dark flying disc,"Extends play into the evening; simple, social, active.",A,Rs 0-500
46,"Boys, 0-12","Curious, hands-on, growing fast",Outdoor & Active,Bug-catching explorer kit with viewer,"Magnifier, net and jar for the budding naturalist.",A,Rs 0-500
47,"Boys, 0-12","Curious, hands-on, growing fast",Outdoor & Active,Skateboard / penny board for beginners,A first board is a rite of passage and a lasting hobby.,C,"Rs 1,500-5,000"
48,"Boys, 0-12","Curious, hands-on, growing fast",Outdoor & Active,Pump-action foam blaster (long range),Backyard battles that get the whole street moving.,B,"Rs 500-1,500"
49,"Boys, 0-12","Curious, hands-on, growing fast",Outdoor & Active,Kids' badminton set with net,Instant garden game that parents will join in on.,B,"Rs 500-1,500"
50,"Boys, 0-12","Curious, hands-on, growing fast",Outdoor & Active,Stomp-powered jumping rocket,"Jump on the pad, launch the rocket; pure kinetic joy.",A,Rs 0-500
51,"Boys, 0-12","Curious, hands-on, growing fast",Games & Puzzles,Cooperative board game for kids,"Everyone wins or loses together; teaches teamwork, not tears.",B,"Rs 500-1,500"
52,"Boys, 0-12","Curious, hands-on, growing fast",Games & Puzzles,3D wooden brain-teaser puzzle set,Tactile logic puzzles that beat any tablet game.,A,Rs 0-500
53,"Boys, 0-12","Curious, hands-on, growing fast",Games & Puzzles,Memory & strategy card game (ages 7+),"Quick rounds, real thinking, endlessly replayable.",A,Rs 0-500
54,"Boys, 0-12","Curious, hands-on, growing fast",Games & Puzzles,Themed 80-piece jigsaw (space/dino),A screen-free rainy-day ritual in a premium tin.,A,Rs 0-500
55,"Boys, 0-12","Curious, hands-on, growing fast",Games & Puzzles,Magnetic travel chess & draughts,Fits in a bag; starts a lifelong strategy habit.,B,"Rs 500-1,500"
56,"Boys, 0-12","Curious, hands-on, growing fast",Games & Puzzles,Rubik's-style speed cube starter set,A pocket puzzle that becomes a genuine skill flex.,A,Rs 0-500
57,"Boys, 0-12","Curious, hands-on, growing fast",Games & Puzzles,Tangram + shape-logic acrylic set,"Spatial reasoning in beautiful, giftable form.",B,"Rs 500-1,500"
58,"Boys, 0-12","Curious, hands-on, growing fast",Games & Puzzles,Maze marble labyrinth board,Steady hands and patience in a single wooden board.,B,"Rs 500-1,500"
59,"Boys, 0-12","Curious, hands-on, growing fast",Games & Puzzles,Escape-room-in-a-box for kids,"A family evening of clues, ciphers and cheering.",B,"Rs 500-1,500"
60,"Boys, 0-12","Curious, hands-on, growing fast",Games & Puzzles,Balancing / stacking physics game,Suspense and fine motor skills in a tumbling tower.,A,Rs 0-500
61,"Boys, 0-12","Curious, hands-on, growing fast",Space & Nature,Astronaut projector & starry night light,Turns the ceiling into a galaxy; calms bedtime beautifully.,B,"Rs 500-1,500"
62,"Boys, 0-12","Curious, hands-on, growing fast",Space & Nature,Grow-your-own butterfly habitat,Live caterpillars to butterflies; a lesson in life itself.,C,"Rs 1,500-5,000"
63,"Boys, 0-12","Curious, hands-on, growing fast",Space & Nature,Ant farm / formicarium habitat,Hypnotic real-world engineering happening behind glass.,B,"Rs 500-1,500"
64,"Boys, 0-12","Curious, hands-on, growing fast",Space & Nature,Dinosaur excavation & assembly kit,"Dig, clean and build a dino skeleton like a palaeontologist.",B,"Rs 500-1,500"
65,"Boys, 0-12","Curious, hands-on, growing fast",Space & Nature,Planetarium home star projector,Accurate constellations that spark real astronomy questions.,C,"Rs 1,500-5,000"
66,"Boys, 0-12","Curious, hands-on, growing fast",Space & Nature,Grow-a-plant science greenhouse,Seeds to sprouts on the windowsill; responsibility made fun.,A,Rs 0-500
67,"Boys, 0-12","Curious, hands-on, growing fast",Space & Nature,Glow-in-dark planets ceiling set,A whole solar system that appears at lights-out.,A,Rs 0-500
68,"Boys, 0-12","Curious, hands-on, growing fast",Space & Nature,Rock & mineral collection with guide,A starter collection that turns walks into hunts.,B,"Rs 500-1,500"
69,"Boys, 0-12","Curious, hands-on, growing fast",Space & Nature,Kids' beginner telescope,First view of the Moon's craters is a core memory.,C,"Rs 1,500-5,000"
70,"Boys, 0-12","Curious, hands-on, growing fast",Space & Nature,Volcano & earthquake geology kit,"Plate tectonics you can build, shake and erupt.",B,"Rs 500-1,500"
71,"Boys, 0-12","Curious, hands-on, growing fast",Early Years,Busy board activity panel (toddler),"Buckles, zips and switches build real-world fine motor skills.",B,"Rs 500-1,500"
72,"Boys, 0-12","Curious, hands-on, growing fast",Early Years,Wooden shape-sorter & stacker,The timeless first puzzle; endlessly repeatable.,A,Rs 0-500
73,"Boys, 0-12","Curious, hands-on, growing fast",Early Years,Musical instrument starter band set,"Drum, xylophone and shaker for the tiny performer.",B,"Rs 500-1,500"
74,"Boys, 0-12","Curious, hands-on, growing fast",Early Years,Water-reveal reusable painting book,"Paints with just water; no mess, infinite reuse.",A,Rs 0-500
75,"Boys, 0-12","Curious, hands-on, growing fast",Early Years,Textured sensory ball pack,"Different grips and bumps for grabbing, rolling, giggling.",A,Rs 0-500
76,"Boys, 0-12","Curious, hands-on, growing fast",Early Years,Soft cloth activity book (crinkle),First 'book' that survives chewing and teaches touch.,A,Rs 0-500
77,"Boys, 0-12","Curious, hands-on, growing fast",Early Years,Nesting & stacking cups set,"Bath toy, tower and sorter in one humble classic.",A,Rs 0-500
78,"Boys, 0-12","Curious, hands-on, growing fast",Early Years,Pull-along wooden animal toy,"Encourages those first wobbly, proud steps.",B,"Rs 500-1,500"
79,"Boys, 0-12","Curious, hands-on, growing fast",Early Years,Peg puzzle animals / vehicles,Chunky pegs for tiny fingers; names and shapes together.,A,Rs 0-500
80,"Boys, 0-12","Curious, hands-on, growing fast",Early Years,Sound-button early words board,Press to hear the word; vocabulary through play.,B,"Rs 500-1,500"
81,"Boys, 0-12","Curious, hands-on, growing fast",Books & Story,Personalised storybook with child's name,They become the hero; the most re-read book on the shelf.,B,"Rs 500-1,500"
82,"Boys, 0-12","Curious, hands-on, growing fast",Books & Story,Interactive pop-up adventure book,Paper engineering that makes reading feel like magic.,A,Rs 0-500
83,"Boys, 0-12","Curious, hands-on, growing fast",Books & Story,Audio storybook player (screen-free),A screen-free 'Netflix for ears' for independent listening.,D,"Rs 5,000+"
84,"Boys, 0-12","Curious, hands-on, growing fast",Books & Story,Build-your-own story dice set,"Roll the dice, invent a tale; imagination on demand.",A,Rs 0-500
85,"Boys, 0-12","Curious, hands-on, growing fast",Books & Story,Illustrated first encyclopedia,Answers a thousand 'why' questions in one beautiful book.,B,"Rs 500-1,500"
86,"Boys, 0-12","Curious, hands-on, growing fast",Books & Story,Graphic-novel starter box set,Hooks reluctant readers with pictures and cliff-hangers.,C,"Rs 1,500-5,000"
87,"Boys, 0-12","Curious, hands-on, growing fast",Books & Story,Mythology & folktales illustrated set,Indian and world myths that fuel imagination and roots.,B,"Rs 500-1,500"
88,"Boys, 0-12","Curious, hands-on, growing fast",Books & Story,Comic subscription (3 months),A gift that keeps arriving; anticipation every month.,C,"Rs 1,500-5,000"
89,"Boys, 0-12","Curious, hands-on, growing fast",Books & Story,Personalised name puzzle (wooden),"Learn to spell their own name, one peg at a time.",B,"Rs 500-1,500"
90,"Boys, 0-12","Curious, hands-on, growing fast",Books & Story,Draw-your-own-comic blank panel book,A blank stage for kids who'd rather make stories than read them.,A,Rs 0-500
91,"Boys, 0-12","Curious, hands-on, growing fast",Sports & Fandom,Junior football / basketball hoop set,Backyard sport that gets him moving and competing.,B,"Rs 500-1,500"
92,"Boys, 0-12","Curious, hands-on, growing fast",Sports & Fandom,Personalised jersey (favourite team/name),His name on his hero's colours; instantly treasured.,B,"Rs 500-1,500"
93,"Boys, 0-12","Curious, hands-on, growing fast",Sports & Fandom,Table-top mini football / foosball,Endless indoor matches with friends and family.,C,"Rs 1,500-5,000"
94,"Boys, 0-12","Curious, hands-on, growing fast",Sports & Fandom,"Cricket set (bat, ball, stumps)",The classic Indian backyard game in one kit.,B,"Rs 500-1,500"
95,"Boys, 0-12","Curious, hands-on, growing fast",Sports & Fandom,Basketball / football trivia card game,"Feeds the young fan's obsession, screen-free.",A,Rs 0-500
96,"Boys, 0-12","Curious, hands-on, growing fast",Sports & Fandom,Air-powered indoor hover-soccer disc,Glides across the floor for safe indoor goals.,A,Rs 0-500
97,"Boys, 0-12","Curious, hands-on, growing fast",Sports & Fandom,Sports-star collectible figure,A display-worthy nod to his favourite athlete.,B,"Rs 500-1,500"
98,"Boys, 0-12","Curious, hands-on, growing fast",Sports & Fandom,Kids' punching bag + gloves,Energy release and coordination in one fun set.,C,"Rs 1,500-5,000"
99,"Boys, 0-12","Curious, hands-on, growing fast",Sports & Fandom,Bowling / skittles indoor set,"Simple, social scoring fun for all ages.",B,"Rs 500-1,500"
100,"Boys, 0-12","Curious, hands-on, growing fast",Sports & Fandom,Target-practice velcro dartboard,Safe aiming games that build focus and giggles.,A,Rs 0-500
101,"Girls, 0-12","Creative, expressive, imaginative",Art & Making,Lippan mud-art mirror craft kit,A rooted Indian art form that ends in a wall-worthy piece.,A,Rs 0-500
102,"Girls, 0-12","Creative, expressive, imaginative",Art & Making,DIY tie-dye fashion kit,Make wearable art; every result is one-of-a-kind.,B,"Rs 500-1,500"
103,"Girls, 0-12","Creative, expressive, imaginative",Art & Making,Candle-making starter kit,"Melt, scent and mould; a calming, giftable-back hobby.",B,"Rs 500-1,500"
104,"Girls, 0-12","Creative, expressive, imaginative",Art & Making,Soap-making DIY set,Chemistry plus beauty; they gift the results proudly.,B,"Rs 500-1,500"
105,"Girls, 0-12","Creative, expressive, imaginative",Art & Making,Diamond-dotz sparkle art kit,"Meditative, satisfying and ends in a framed sparkler.",A,Rs 0-500
106,"Girls, 0-12","Creative, expressive, imaginative",Art & Making,Paper-quilling decor kit,Delicate coils become greeting cards and wall art.,A,Rs 0-500
107,"Girls, 0-12","Creative, expressive, imaginative",Art & Making,Embroidery hoop beginner kit,"A slow, screen-free skill with heirloom potential.",B,"Rs 500-1,500"
108,"Girls, 0-12","Creative, expressive, imaginative",Art & Making,Mandala dot-painting coasters,"Six blank coasters become a usable, gift-worthy set.",A,Rs 0-500
109,"Girls, 0-12","Creative, expressive, imaginative",Art & Making,Fabric marker & tote-bag design kit,Design your own bag; wear the art to school.,A,Rs 0-500
110,"Girls, 0-12","Creative, expressive, imaginative",Art & Making,Air-dry clay jewellery-making kit,"Sculpt, bake-free, then wear their own creations.",B,"Rs 500-1,500"
111,"Girls, 0-12","Creative, expressive, imaginative",Jewellery Craft,Bead loom bracelet-making studio,"Loom-woven bands; a real craft, not just threading.",B,"Rs 500-1,500"
112,"Girls, 0-12","Creative, expressive, imaginative",Jewellery Craft,Resin keychain & pendant kit,"Embed flowers and glitter; magical, giftable results.",B,"Rs 500-1,500"
113,"Girls, 0-12","Creative, expressive, imaginative",Jewellery Craft,DIY scrunchie sewing kit,Make a drawer full of hair accessories in an afternoon.,A,Rs 0-500
114,"Girls, 0-12","Creative, expressive, imaginative",Jewellery Craft,Charm bracelet build-your-own set,A story on the wrist; add charms for milestones.,B,"Rs 500-1,500"
115,"Girls, 0-12","Creative, expressive, imaginative",Jewellery Craft,Nail-art (kid-safe peel-off) studio,"Salon fun at home with washable, gentle polishes.",B,"Rs 500-1,500"
116,"Girls, 0-12","Creative, expressive, imaginative",Jewellery Craft,Press-on gem body-art kit,Festival sparkle for dress-up days and parties.,A,Rs 0-500
117,"Girls, 0-12","Creative, expressive, imaginative",Jewellery Craft,Friendship-band braiding disc,The classic that makes and cements friendships.,A,Rs 0-500
118,"Girls, 0-12","Creative, expressive, imaginative",Jewellery Craft,Clay-bead phone-charm kit,On-trend beaded charms they'll actually use.,A,Rs 0-500
119,"Girls, 0-12","Creative, expressive, imaginative",Jewellery Craft,Personalised name-bracelet letter kit,"Spell any name; part learning, part fashion.",A,Rs 0-500
120,"Girls, 0-12","Creative, expressive, imaginative",Jewellery Craft,Melt-and-pour lip-balm kit,"Safe, natural balms in flavours they choose.",B,"Rs 500-1,500"
121,"Girls, 0-12","Creative, expressive, imaginative",STEM & Discovery,Perfume-making chemistry lab,Blends fragrance science with creativity; deeply engaging.,B,"Rs 500-1,500"
122,"Girls, 0-12","Creative, expressive, imaginative",STEM & Discovery,Bath-bomb making kit,Fizzy chemistry that ends in a spa night.,B,"Rs 500-1,500"
123,"Girls, 0-12","Creative, expressive, imaginative",STEM & Discovery,Grow-your-own crystal jewellery,Science project you can wear when it's done.,B,"Rs 500-1,500"
124,"Girls, 0-12","Creative, expressive, imaginative",STEM & Discovery,Coding robot with storytelling mode,Learns logic through characters and quests.,C,"Rs 1,500-5,000"
125,"Girls, 0-12","Creative, expressive, imaginative",STEM & Discovery,Botany pressed-flower science kit,Preserve blooms and learn plant parts together.,A,Rs 0-500
126,"Girls, 0-12","Creative, expressive, imaginative",STEM & Discovery,Kitchen-science experiment box,"Edible, safe experiments that demystify food.",B,"Rs 500-1,500"
127,"Girls, 0-12","Creative, expressive, imaginative",STEM & Discovery,Build-a-fountain hydraulics kit,Pretty and educational; water physics made lovely.,B,"Rs 500-1,500"
128,"Girls, 0-12","Creative, expressive, imaginative",STEM & Discovery,Solar-powered dollhouse light kit,Wire real lights into pretend play; sneaky engineering.,C,"Rs 1,500-5,000"
129,"Girls, 0-12","Creative, expressive, imaginative",STEM & Discovery,Weather & rainbow science kit,Make rainbows and clouds; wonder plus explanation.,A,Rs 0-500
130,"Girls, 0-12","Creative, expressive, imaginative",STEM & Discovery,DIY kaleidoscope build kit,"Optics you assemble, then can't stop looking through.",A,Rs 0-500
131,"Girls, 0-12","Creative, expressive, imaginative",Imaginative Play,Wooden play-kitchen accessories set,Sturdy props for years of open-ended role-play.,C,"Rs 1,500-5,000"
132,"Girls, 0-12","Creative, expressive, imaginative",Imaginative Play,Doctor / vet role-play kit,Empathy and vocabulary through caring play.,B,"Rs 500-1,500"
133,"Girls, 0-12","Creative, expressive, imaginative",Imaginative Play,Magnetic dress-up wooden doll,Endless outfits; storytelling without tiny lost parts.,B,"Rs 500-1,500"
134,"Girls, 0-12","Creative, expressive, imaginative",Imaginative Play,DIY dollhouse build-and-decorate kit,"Build it, then live stories inside it.",C,"Rs 1,500-5,000"
135,"Girls, 0-12","Creative, expressive, imaginative",Imaginative Play,Puppet theatre with hand puppets,A stage for shy kids to find their voice.,C,"Rs 1,500-5,000"
136,"Girls, 0-12","Creative, expressive, imaginative",Imaginative Play,Tea-party ceramic play set,"Hosting, sharing and manners, disguised as fun.",B,"Rs 500-1,500"
137,"Girls, 0-12","Creative, expressive, imaginative",Imaginative Play,Little-chef baking apron & tools,Real cooking confidence in kid-sized gear.,B,"Rs 500-1,500"
138,"Girls, 0-12","Creative, expressive, imaginative",Imaginative Play,Pretend market / grocery play set,"Counting, trading and role-play in one basket.",B,"Rs 500-1,500"
139,"Girls, 0-12","Creative, expressive, imaginative",Imaginative Play,Fairy-garden building kit,A tiny magical world they design and tend.,B,"Rs 500-1,500"
140,"Girls, 0-12","Creative, expressive, imaginative",Imaginative Play,Design-your-own board game kit,They invent the rules; creativity meets game night.,B,"Rs 500-1,500"
141,"Girls, 0-12","Creative, expressive, imaginative",Music & Performance,Beginner ukulele with lesson book,"Small hands, big joy; a real first instrument.",C,"Rs 1,500-5,000"
142,"Girls, 0-12","Creative, expressive, imaginative",Music & Performance,Karaoke mic with Bluetooth speaker,Stage-lit confidence for the household performer.,B,"Rs 500-1,500"
143,"Girls, 0-12","Creative, expressive, imaginative",Music & Performance,Kids' electronic keyboard with lights,Light-up keys teach songs without a tutor.,C,"Rs 1,500-5,000"
144,"Girls, 0-12","Creative, expressive, imaginative",Music & Performance,DIY musical-instrument craft kit,"Build shakers and drums, then form a band.",B,"Rs 500-1,500"
145,"Girls, 0-12","Creative, expressive, imaginative",Music & Performance,Kalimba thumb piano,"Instantly playable, soothing and genuinely musical.",B,"Rs 500-1,500"
146,"Girls, 0-12","Creative, expressive, imaginative",Music & Performance,Ballet / dance starter kit,Encourages movement and grace with real gear.,B,"Rs 500-1,500"
147,"Girls, 0-12","Creative, expressive, imaginative",Music & Performance,Handbell / chime set with songbook,Colour-coded music-making for pre-readers.,B,"Rs 500-1,500"
148,"Girls, 0-12","Creative, expressive, imaginative",Music & Performance,Recording microphone toy studio,"Records, plays back and delights budding singers.",C,"Rs 1,500-5,000"
149,"Girls, 0-12","Creative, expressive, imaginative",Music & Performance,Dress-up performance costume trunk,A whole wardrobe for imaginative role-play.,C,"Rs 1,500-5,000"
150,"Girls, 0-12","Creative, expressive, imaginative",Music & Performance,Rhythm & maracas percussion pack,Keeps the beat and the giggles going.,A,Rs 0-500
151,"Girls, 0-12","Creative, expressive, imaginative",Outdoor & Active,Girls' beginner skateboard / cruiser,A confidence-building first board in fun colours.,C,"Rs 1,500-5,000"
152,"Girls, 0-12","Creative, expressive, imaginative",Outdoor & Active,Hula-hoop fitness set (weighted),Active play that quietly builds coordination.,A,Rs 0-500
153,"Girls, 0-12","Creative, expressive, imaginative",Outdoor & Active,Garden gymnastics balance beam,Backyard practice for the aspiring gymnast.,C,"Rs 1,500-5,000"
154,"Girls, 0-12","Creative, expressive, imaginative",Outdoor & Active,Butterfly / bug explorer backpack,Nature kit that gets kids off screens and outside.,B,"Rs 500-1,500"
155,"Girls, 0-12","Creative, expressive, imaginative",Outdoor & Active,Kids' cycling helmet & gear set,Safety gear that makes riding feel official.,B,"Rs 500-1,500"
156,"Girls, 0-12","Creative, expressive, imaginative",Outdoor & Active,Roller skates (adjustable size),Grows with the foot; a season of outdoor fun.,C,"Rs 1,500-5,000"
157,"Girls, 0-12","Creative, expressive, imaginative",Outdoor & Active,Jump-rope with counter,Tracks skips; turns exercise into a personal game.,A,Rs 0-500
158,"Girls, 0-12","Creative, expressive, imaginative",Outdoor & Active,Garden trampoline (mini),Endless bouncing energy release for the whole street.,D,"Rs 5,000+"
159,"Girls, 0-12","Creative, expressive, imaginative",Outdoor & Active,Sidewalk-chalk mega art set,Turns the driveway into a canvas; social and active.,A,Rs 0-500
160,"Girls, 0-12","Creative, expressive, imaginative",Outdoor & Active,Kite + wind-spinner combo,Colourful outdoor play that reads the wind.,A,Rs 0-500
161,"Girls, 0-12","Creative, expressive, imaginative",Books & Story,Personalised adventure storybook,She's the heroine; a book she'll ask for nightly.,B,"Rs 500-1,500"
162,"Girls, 0-12","Creative, expressive, imaginative",Books & Story,Illustrated women-in-history book,Role models and courage in beautiful pages.,B,"Rs 500-1,500"
163,"Girls, 0-12","Creative, expressive, imaginative",Books & Story,Interactive pop-up fairy-tale book,Paper magic that makes reading an event.,A,Rs 0-500
164,"Girls, 0-12","Creative, expressive, imaginative",Books & Story,Screen-free audio story player,"Independent, imagination-first listening for ages 3+.",D,"Rs 5,000+"
165,"Girls, 0-12","Creative, expressive, imaginative",Books & Story,Diary with lock & sticker set,A private space for first words and secrets.,A,Rs 0-500
166,"Girls, 0-12","Creative, expressive, imaginative",Books & Story,Story-cube imagination dice,Roll and invent; storytelling with zero prep.,A,Rs 0-500
167,"Girls, 0-12","Creative, expressive, imaginative",Books & Story,Mythology-for-kids illustrated set,Indian and world tales that build cultural roots.,B,"Rs 500-1,500"
168,"Girls, 0-12","Creative, expressive, imaginative",Books & Story,Graphic-novel starter series,Hooks reluctant readers with art and cliff-hangers.,C,"Rs 1,500-5,000"
169,"Girls, 0-12","Creative, expressive, imaginative",Books & Story,Make-your-own picture-book kit,Blank pages and prompts for tiny authors.,A,Rs 0-500
170,"Girls, 0-12","Creative, expressive, imaginative",Books & Story,Book-of-the-month subscription (3m),"Anticipation and reading habit, delivered monthly.",C,"Rs 1,500-5,000"
171,"Girls, 0-12","Creative, expressive, imaginative",Room & Decor,Star / galaxy ceiling projector,"A calming, dreamy bedtime sky she controls.",B,"Rs 500-1,500"
172,"Girls, 0-12","Creative, expressive, imaginative",Room & Decor,Personalised name LED neon sign,A grown-up room upgrade she'll keep for years.,C,"Rs 1,500-5,000"
173,"Girls, 0-12","Creative, expressive, imaginative",Room & Decor,Fairy-light photo-clip curtain,Displays her memories in a warm glow.,A,Rs 0-500
174,"Girls, 0-12","Creative, expressive, imaginative",Room & Decor,Cloud / moon soft night lamp,"Cute, calming and genuinely useful at bedtime.",B,"Rs 500-1,500"
175,"Girls, 0-12","Creative, expressive, imaginative",Room & Decor,Personalised height-chart wall decal,A keepsake that literally grows with her.,B,"Rs 500-1,500"
